activity,androidx.drawerlayout.widget.DrawerLayout,drawer_layout
fragment_recycler_content,androidx.recyclerview.widget.RecyclerView,recyclerview
fragment_recycler_content,TextView,internalEmpty
fragment_roots,TextView,title
fragment_roots,ExpandableListView,list
fragment_save,LinearLayout,background
fragment_save,ImageButton,button2
fragment_save,EditText,title
fragment_save,ImageButton,button1
fragment_save,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progress
fragment_server,LinearLayout,line2
fragment_server,Button,action
fragment_server,ImageView,icon
fragment_server,TextView,address
fragment_server,TextView,warning
fragment_server,TextView,title
fragment_server,TextView,status
fragment_server,TextView,path
fragment_server,TextView,username
fragment_server,TextView,password
grid_item_color,ImageView,color_view
item_connection_list,ImageView,button_popup
item_connection_list,FrameLayout,icon
item_connection_list,dev.dworks.apps.anexplorer.ui.CircleImage,icon_mime_background
